numeroDeclarationActivite,denomination,region,categories_soft,nb_stagiaires,effectif_formateurs,production_estimee
1.1950778695E10,AUTO-ECOLE CZ,Île-de-France,Enseignement,106,3,6.44
1.1930759693E10,AUTO ECOLE DE GOURNAY,Île-de-France,Enseignement,37,3,6.15
1.1950669595E10,AUTO ECOLE DE LA BUSSIE,Île-de-France,Enseignement,12,3,6.05
8.4691851069E10,AUTO-ECOLE DE LA PIERRE BENITE,Auvergne-Rhône-Alpes,Enseignement,1,3,6.00
3.2591109659E10,Auto école de l'avenir,Hauts-de-France,Enseignement,2,3,6.01
8.4691602169E10,AUTO ECOLE DE MONTCHAT,Auvergne-Rhône-Alpes,Enseignement,27,3,6.11
7.6311075531E10,AUTO-ECOLE DEODAT EURL,Occitanie,Enseignement,265,3,7.10
1.1910852591E10,AUTO-ECOLE D'EPINAY,Île-de-France,Enseignement,50,3,6.21
8.4010221801E10,AUTO-ECOLE DES 3 MONTS,Auvergne-Rhône-Alpes,Enseignement,8,3,6.03
8.4030400803E10,AUTO ECOLE DESMARAIS,Auvergne-Rhône-Alpes,Enseignement,3,3,6.01
1.1941176794E10,AUTO ECOLE DU CENTRE (AEC),Île-de-France,Enseignement,56,3,6.23
1.1930883893E10,AUTO ECOLE DU CHENE AULNAY,Île-de-France,Enseignement,170,3,6.71
1.1930854093E10,AUTO ECOLE DU DOME,Île-de-France,Enseignement,34,3,6.14
2.4280192328E10,AUTO ECOLE DU LIEVRE D'OR,Centre-Val de Loire,Enseignement,36,3,6.15
7.6660211166E10,AUTO ECOLE DU ROUSSILLON,Occitanie,Enseignement,87,3,6.36
9.3131733313E10,AUTO ECOLE DYNAMIC,Provence-Alpes-Côte d'Azur,Enseignement,29,3,6.12
4.973198197E9,AUTO ECOLE EUROPE,La Réunion,Enseignement,57,3,6.24
2.4360092436E10,AUTO ECOLE FABIENNE,Centre-Val de Loire,Enseignement,41,3,6.17
8.4380839638E10,AUTO ECOLE FCSR,Auvergne-Rhône-Alpes,Enseignement,303,3,7.26
3.260032216E10,AUTO ECOLE FRANCAISE DE CONDUITE 2,Hauts-de-France,Enseignement,67,3,6.28
7.5870172687E10,AUTO ECOLE FRANCAISE FEYTIAT,Nouvelle-Aquitaine,Enseignement,49,3,6.20
7.630042293E10,AUTO ECOLE FRANCK,Occitanie,Enseignement,94,3,6.39
1.1930820893E10,auto ecole general joinville,Île-de-France,Enseignement,214,3,6.89
1.1756588275E10,AUTO ECOLE GLACIERE,Île-de-France,Enseignement,195,3,6.81
1.1788373578E10,AUTO-ECOLE GM,Île-de-France,Enseignement,135,3,6.56
9.3061108006E10,AUTO ECOLE GRAMMONT,Provence-Alpes-Côte d'Azur,Enseignement,3,3,6.01
1.1930829493E10,Auto-école Jaurès,Île-de-France,Enseignement,37,3,6.15
2.973123797E9,AUTO ECOLE LA FOLIE,Martinique,Enseignement,17,3,6.07
9.3830711183E10,AUTO ECOLE LA ROUGE ET NOIRE,Provence-Alpes-Côte d'Azur,Enseignement,48,3,6.20
1.1930875693E10,AUTO ECOLE LA TREMBLAYSIENNE,Île-de-France,Enseignement,53,3,6.22
2.7890178489E10,AUTO ECOLE LE BON SENS,Bourgogne-Franche-Comté,Enseignement,73,3,6.30
1.1756191275E10,AUTO-ECOLE MAYET,Île-de-France,Enseignement,36,3,6.15
5.3290966029E10,AUTO-ECOLE MC FORMATIONS,Bretagne,Enseignement,384,3,7.60
4.4080062508E10,AUTO ECOLE M ET R,Grand Est,Enseignement,28,3,6.12
1.1941276394E10,AUTO ECOLE MH,Île-de-France,Enseignement,47,3,6.20
7.6310981231E10,AUTO ECOLE MIDI BELLEFONTAINE,Occitanie,Enseignement,173,3,6.72
9.3830657683E10,AUTO ECOLE MIM,Provence-Alpes-Côte d'Azur,Enseignement,84,3,6.35
7.5860209386E10,AUTO-ECOLE NOUVEL'R,Nouvelle-Aquitaine,Enseignement,1,3,6.00
8.4010226101E10,AUTO ECOLE PAINLEVE,Auvergne-Rhône-Alpes,Enseignement,101,3,6.42
1.1922359192E10,AUTO-ECOLE PARIS OUEST,Île-de-France,Enseignement,204,3,6.85
5.2720189472E10,AUTO-ECOLE PONT GAMBETTA,Pays de la Loire,Enseignement,25,3,6.10
1.1755915675E10,AUTO  ECOLE PRIORITE PERMIS,Île-de-France,Enseignement,81,3,6.34
9.3060929606E10,AUTO ECOLE RCM,Provence-Alpes-Côte d'Azur,Enseignement,42,3,6.17
1.1930755693E10,AUTO ECOLE RESISTANCE,Île-de-France,Enseignement,128,3,6.53
1.1922355292E10,AUTO-ECOLE REUIL GARE,Île-de-France,Enseignement,330,3,7.38
