numeroDeclarationActivite,denomination,region,effectifFormateurs,stagiaires,production_estimee,macro_theme,multi_cert
1.1756888575E10,ALBUS,Île-de-France,6,21,12.09,Commerce/Gestion,Non
7.5640440464E10,ALDAZIA,Nouvelle-Aquitaine,6,125,12.52,Langues,Oui
9.3830537083E10,ALIGNERS TRAINING CENTER,Provence-Alpes-Côte d'Azur,6,596,14.48,Santé,Non
2.7890148189E10,ALLIE FORMATION,Bourgogne-Franche-Comté,6,50,12.21,Autre,Non
9.3132182313E10,ALL MANAGER,Provence-Alpes-Côte d'Azur,6,208,12.87,Tech/Digital,Non
8.4380886338E10,ALPES FORMATIONS,Auvergne-Rhône-Alpes,6,66,12.28,Sécurité,Non
9.3060703106E10,ALPHA CONSEILS TECHNOLOGIES,Provence-Alpes-Côte d'Azur,6,24,12.10,Services,Non
4.2670418867E10,ALSACREATIONS,Grand Est,6,92,12.38,Autre,Non
1.1756701275E10,ALSHAIN,Île-de-France,6,43,12.18,Services,Oui
1.1941046094E10,ALTA FORMATION ET CONSEIL,Île-de-France,6,141,12.59,Services,Non
1.1756829675E10,ALTA VOCE,Île-de-France,6,275,13.15,Commerce/Gestion,Non
1.1922332592E10,ALTER COACH,Île-de-France,6,43,12.18,Soft Skills,Non
9.3060822806E10,ALTER EGAUX,Provence-Alpes-Côte d'Azur,6,814,15.39,Soft Skills,Non
8.2380325238E10,ALTROS,Auvergne-Rhône-Alpes,6,28,12.12,Autre,Oui
5.3290953229E10,AMC CONDUITE,Bretagne,6,36,12.15,Soft Skills,Non
3.1590879159E10,AMCF PORTAGE,Hauts-de-France,6,122,12.51,Soft Skills,Non
2.4280165428E10,AMETIS,Centre-Val de Loire,6,26,12.11,Tech/Digital,Non
5.2720173472E10,AMF,Pays de la Loire,6,49,12.20,Soft Skills,Non
1.1930755593E10,AMI AUTO ECOLE,Île-de-France,6,295,13.23,Soft Skills,Non
8.2690522269E10,AMIGEST,Auvergne-Rhône-Alpes,6,177,12.74,Commerce/Gestion,Non
3.2020161802E10,AMZ FORMATIONS,Hauts-de-France,6,242,13.01,Autre,Non
1.1922615292E10,ANALYSE EXPERT,Île-de-France,6,122,12.51,Juridique,Non
2.8140378014E10,ANGLAIS @ CAEN,Normandie,6,200,12.83,Langues,Non
5.2490253949E10,ANGLAIS @ LE MANS - WALL STREET ENGLISH,Pays de la Loire,6,671,14.80,Langues,Non
1.1940864494E10,ANIMATION 94 SAS FORMATION CONSEIL AUDIT,Île-de-France,6,198,12.82,Santé,Oui
8.4070101007E10,ANNONAY PRODUCTIONS FRANCE,Auvergne-Rhône-Alpes,6,127,12.53,Industrie,Non
1.1753787875E10,ANTEGOS CONSULTING,Île-de-France,6,626,14.61,Commerce/Gestion,Non
8.2690328169E10,APE CONSEIL,Auvergne-Rhône-Alpes,6,58,12.24,Commerce/Gestion,Non
5.3220935922E10,APEX-MSK,Bretagne,6,37,12.15,Santé,Non
9.3830641483E10,API MANAGEMENT,Provence-Alpes-Côte d'Azur,6,347,13.45,Soft Skills,Non
9.3830523883E10,APOTICARIUS,Provence-Alpes-Côte d'Azur,6,418,13.74,Autre,Non
1.1770660777E10,APPLETON SCHOOL OF ENGLISH,Île-de-France,6,124,12.52,Langues,Non
9.3131715113E10,APRFJGM,Provence-Alpes-Côte d'Azur,6,15,12.06,Santé,Non
1.1941183094E10,ARBITRYUM,Île-de-France,6,698,14.91,Santé,Non
7.6311107531E10,ARBRE DE VIE SASU,Occitanie,6,133,12.55,Commerce/Gestion,Oui
